File Name,Duration (Seconds),Number of samples
2014/sw106b004.wav,159994199,22050
2014/sw119a003.wav,182516573,22050
2014/sw106b003.wav,169475246,22050
2014/sw119a004.wav,182514050,22050
2014/sw114b001.wav,182493126,22050
2014/sw114a005.wav,182515737,22050
2014/sw114a002.wav,181197411,22050
2014/sw092a001.wav,177722066,22050
2014/sw106a001.wav,182471515,22050
2014/sw119b001.wav,180318309,22050
2014/sw106b002.wav,177177339,22050
2014/sw119a005.wav,182516342,22050
2014/sw106b005.wav,182518550,22050
2014/sw119a002.wav,182391327,22050
2014/sw114a003.wav,172621895,22050
2014/sw114a004.wav,182509237,22050
2014/sw114b004.wav,182516815,22050
2014/sw114b003.wav,178333457,22050
2014/sw119b002.wav,182515029,22050
2014/sw119b005.wav,182514074,22050
2014/sw106a002.wav,182510527,22050
2014/sw119a001.wav,182471702,22050
2014/sw106b001.wav,179772465,22050
2014/sw114b002.wav,179787426,22050
2014/sw114b005.wav,182518686,22050
2014/sw114a001.wav,182471494,22050
2014/sw092a002.wav,82003859,22050
2014/sw119b004.wav,175014887,22050
2014/sw106a003.wav,182511259,22050
2014/sw119b003.wav,179485542,22050
2014/sw106a004.wav,178468720,22050
2015/sw100b001.wav,164276139,22050
2015/sw081a003.wav,164263986,22050
2015/sw085a003.wav,177010866,22050
2015/sw085a004.wav,177194455,22050
2015/sw100b006.wav,21498036,22050
2015/sw081a004.wav,107759050,22050
2015/sw091a005.wav,182216363,22050
2015/sw061a002.wav,164248998,22050
2015/sw091a002.wav,182116214,22050
2015/sw090c003.wav,164261259,22050
2015/sw078d007.wav,171087290,22050
2015/sw091b001.wav,164275829,22050
2015/sw090c004.wav,164259218,22050
2015/sw061b001.wav,164275191,22050
2015/sw078d009.wav,166215428,22050
2015/sw078c002.wav,171824981,22050
2015/sw100a002.wav,178389648,22050
2015/sw078c005.wav,172660167,22050
2015/sw097a001.wav,182161541,22050
2015/sw078b001.wav,164229407,22050
2015/sw061c002.wav,174472043,22050
2015/sw078d011.wav,159071013,22050
2015/sw090a004.wav,178138109,22050
2015/sw090a003.wav,182209194,22050
2015/sw078a005.wav,164266535,22050
2015/sw078a002.wav,164256411,22050
2015/sw078c004.wav,172558795,22050
2015/sw078c003.wav,6447827,22050
2015/sw078d008.wav,166039829,22050
2015/sw100a003.wav,106472219,22050
2015/sw078d006.wav,160465921,22050
2015/sw090c005.wav,164263055,22050
2015/sw090c002.wav,164254422,22050
2015/sw078d001.wav,178804553,22050
2015/sw061a003.wav,4712246,22050
2015/sw091a003.wav,180484985,22050
2015/sw091a004.wav,178128564,22050
2015/sw085a005.wav,123067736,22050
2015/sw081a002.wav,164253729,22050
2015/sw085a002.wav,176518442,22050
2015/sw078a003.wav,164265627,22050
2015/sw078a004.wav,164265381,22050
2015/sw090a002.wav,181232644,22050
2015/sw090a005.wav,153754147,22050
2015/sw090b001.wav,164275097,22050
2015/sw078d010.wav,159664243,22050
2015/sw061c003.wav,182217140,22050
2015/sw090a001.wav,182167346,22050
2015/sw090b005.wav,139436340,22050
2015/sw090b002.wav,164259653,22050
2015/sw097a003.wav,182206439,22050
2015/sw078b003.wav,88929144,22050
2015/sw097a004.wav,39385251,22050
2015/sw078c007.wav,78061752,22050
2015/sw091b004.wav,164259703,22050
2015/sw090c001.wav,164218273,22050
2015/sw061b004.wav,164266662,22050
2015/sw078d002.wav,165581580,22050
2015/sw078d005.wav,158616204,22050
2015/sw091b003.wav,164267658,22050
2015/sw090c006.wav,13077701,22050
2015/sw061b003.wav,164268796,22050
2015/sw100b003.wav,164262427,22050
2015/sw081a001.wav,164275313,22050
2015/sw085a001.wav,182166997,22050
2015/sw100b004.wav,164262024,22050
2015/sw078b002.wav,164251147,22050
2015/sw097a002.wav,182202828,22050
2015/sw090b003.wav,164266656,22050
2015/sw078d012.wav,163205278,22050
2015/sw090b004.wav,164260119,22050
2015/sw061c001.wav,177399028,22050
2015/sw078a001.wav,164274922,22050
2015/sw078a006.wav,140406923,22050
2015/sw100b005.wav,164265907,22050
2015/sw100b002.wav,164255213,22050
2015/sw061a001.wav,164218350,22050
2015/sw091a001.wav,141842553,22050
2015/sw091a006.wav,23931165,22050
2015/sw078d004.wav,167089106,22050
2015/sw091b002.wav,164253393,22050
2015/sw061b002.wav,164254819,22050
2015/sw091b005.wav,129161008,22050
2015/sw061b005.wav,116219795,22050
2015/sw078d003.wav,168518082,22050
2015/sw078c006.wav,182211411,22050
2015/sw078c001.wav,182166994,22050
2015/sw100a001.wav,179289510,22050
2016/sw133b005.wav,95199507,22050
2016/sw133b002.wav,157478306,22050
2016/sw134a003.wav,157473202,22050
2016/sw103a005.wav,164264185,22050
2016/sw134a004.wav,104788884,22050
2016/sw103a002.wav,164260236,22050
2016/sw115a011.wav,164273197,22050
2016/sw133a001.wav,164191698,22050
2016/sw115a009.wav,164265559,22050
2016/sw115a007.wav,164262507,22050
2016/sw115a010.wav,164268808,22050
2016/sw134a005.wav,887171,22050
2016/sw103a003.wav,164259093,22050
2016/sw134a002.wav,157472630,22050
2016/sw103a004.wav,164259724,22050
2016/sw133b003.wav,157478676,22050
2016/sw133b004.wav,157483510,22050
2016/sw115b002.wav,51918073,22050
2016/sw103a012.wav,98207497,22050
2016/sw115a001.wav,164236853,22050
2016/sw115a006.wav,164262210,22050
2016/sw115a008.wav,164267017,22050
2016/sw103a011.wav,164271475,22050
2016/sw115b001.wav,157444747,22050
2016/sw115a005.wav,164265613,22050
2016/sw115a002.wav,164262782,22050
2016/sw133a004.wav,164261117,22050
2016/sw133a003.wav,164262951,22050
2016/sw134a001.wav,157431119,22050
2016/sw103a007.wav,164264495,22050
2016/sw103a009.wav,164264786,22050
2016/sw115a003.wav,164261428,22050
2016/sw115a004.wav,164261968,22050
2016/sw103a010.wav,164260774,22050
2016/sw103a008.wav,164265601,22050
2016/sw133b001.wav,157444641,22050
2016/sw103a001.wav,164236402,22050
2016/sw103a006.wav,164261375,22050
2016/sw115a012.wav,98186345,22050
2016/sw133a002.wav,164261224,22050
2016/sw133a005.wav,3771641,22050